id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B0FFLHVA44,[],洞庭街133号(明珠豪生酒店背后),湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,[],江岸区,EAT ME,"114.303591,30.591046",17786579735,114.303591,30.591046
B001B0427B,B001B1BP6Z,公安路1号附4号,湖北省,武汉市,餐饮服务;中餐厅;四川菜(川菜),050102,1,320,江岸区,盛宏鑫四川鲜鱼馆(中城国际2期店),"114.301255,30.594346",13871017948,114.301255,30.594346
B001B0911C,[],蔡锷路35号(近解放电影院),湖北省,武汉市,餐饮服务;中餐厅;特色/地方风味餐厅,050118,1,[],江岸区,解放烧烤王(总店),"114.302035,30.591366",13986029006;15972983961;18971039807,114.302035,30.591366
B001B0A8KY,[],蔡锷路33号,湖北省,武汉市,餐饮服务;中餐厅;特色/地方风味餐厅,050118,0,[],江岸区,亮亮烧烤王(蔡锷路店),"114.302391,30.591177",13720394333;13886179841,114.302391,30.591177
B001B16GEI,[],三阳路1号,湖北省,武汉市,餐饮服务;中餐厅;海鲜酒楼,050119,0,[],江岸区,靓靓蒸虾(三阳路店),"114.307313,30.595782",[],114.307313,30.595782
B001B06VJ7,[],蔡锷路18号,湖北省,武汉市,餐饮服务;中餐厅;综合酒楼,050101,0,[],江岸区,蔡锷酒家,"114.302581,30.591215",027-82813189;13807151102,114.302581,30.591215
B001B0IZ5J,B001B0IZKJ,一元街办事处沿江大道182号明珠豪生大酒店,湖北省,武汉市,餐饮服务;外国餐厅;泰国/越南菜品餐厅,050206,0,202,江岸区,泰国金兰花旋转餐厅,"114.304144,30.590768",027-82776666,114.304144,30.590768
B0FFFA1IWA,[],蔡锷路31号(亮亮烧烤旁),湖北省,武汉市,餐饮服务;中餐厅;潮州菜,050123,0,[],江岸区,潮州粥庄(蔡锷路店),"114.302280,30.591237",13886093581,114.302280,30.591237
B001B0I2YY,[],一元路19号,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,[],江岸区,一品红(一元路店),"114.301517,30.593532",13971111121,114.301517,30.593532
B0FFI24QT8,[],胜利街186号,湖北省,武汉市,餐饮服务;中餐厅;湖南菜(湘菜)|餐饮服务;中餐厅;综合酒楼,050108|050101,0,[],江岸区,东达酒楼,"114.302291,30.591927",027-82323889;18908623435,114.302291,30.591927
B0HUSAJI4K,B001B1BP6Z,公安横街中城国际2期3号,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,320,江岸区,米国现煮煲仔饭(一元路店),"114.300120,30.594983",027-82777557;15827228937;15907186031,114.300120,30.594983
B001B16Y2F,B001B0JQOS,四唯街办事处中山大道1541号三阳金城c栋3-7号商铺,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,320,江岸区,谢先生酒店(外滩店),"114.303971,30.599036",027-82728777;027-82729777,114.303971,30.599036
B001B16YDD,B001B0IIBO,胜利街204号(近二曜路),湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,320,江岸区,雉羹坊(公安宿舍店),"114.304644,30.594999",[],114.304644,30.594999
B001B0JD59,B0FFH436OL,沿江大道169号湖北银兴电影城2层,湖北省,武汉市,餐饮服务;中餐厅;中餐厅|住宿服务;旅馆招待所;旅馆招待所,050100|100200,0,202,江岸区,粗茶淡饭·兰亭别院,"114.303293,30.588215",[],114.303293,30.588215
B001B09KYA,[],洞庭街129号小贝壳酒店管理有限公司,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,[],江岸区,小贝壳(洞庭街店),"114.303117,30.590424",027-82832846;027-82844071,114.303117,30.590424
B001B0A8AT,[],一元路21号附1号,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,[],江岸区,李记炸酱面(一元路),"114.301529,30.593527",[],114.301529,30.593527
B0FFGCC4DE,B001B0IVZE,中山大道1161号锦江苑1-B层,湖北省,武汉市,餐饮服务;中餐厅;海鲜酒楼,050119,0,320,江岸区,一锅鱼(锦江苑店),"114.304349,30.599673",15377015668;15926375599,114.304349,30.599673
B001B072Z8,B001B09JRP,胜利街315号(近六合路)荔湾美食城,湖北省,武汉市,餐饮服务;中餐厅;综合酒楼,050101,0,320,江岸区,荔湾酒楼(胜利街店),"114.307486,30.600259",027-82727976;027-82737976;15872412167,114.307486,30.600259
B001B0IVXV,B001B092X3,京汉大道1081号(三阳路地铁站C1口旁),湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,320,江岸区,荔晶时代餐厅(麟趾路店),"114.302067,30.600516",027-82727979;027-82737979,114.302067,30.600516
B001B09ZDC,B0FFFA1EDB,车站路3号,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,302,江岸区,陈记家常菜(江岸店),"114.303152,30.588973",13971549698;13995634219,114.303152,30.588973
B0HRRAS7HJ,[],黎黄陂路2号,湖北省,武汉市,餐饮服务;外国餐厅;日本料理,050202,0,[],江岸区,吉犇·活烤鳗鱼·烧肉,"114.301850,30.586542",18507169676,114.301850,30.586542
B001B0I2V8,B001B0IZM8,长青广场友益街38号(大智路地铁站B口步行370米),湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,1,320,江岸区,虾蟹宝宝(长青广场店),"114.298011,30.591995",17720539520,114.298011,30.591995
B001B0JT3D,B0FFH88TUY,融科·天城1期东南门西南140米,湖北省,武汉市,餐饮服务;中餐厅;综合酒楼,050101,0,320,江岸区,盐商府(融科·天城一期店),"114.296711,30.594771",027-82213877;027-82213977,114.296711,30.594771
B001B1DIBZ,[],球场街915号京汉花园1层,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,[],江岸区,鑫小城故事(京汉店),"114.295555,30.593386",027-82818576;027-82818586,114.295555,30.593386
B001B09GTP,B001B0IZKP,有益街如寿里人家天声街3栋1层2室,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,320,江岸区,天天餐厅(如寿里人家店),"114.299069,30.593061",027-82752131;15671672233,114.299069,30.593061
B0FFIBJA91,B001B15UBN,新长江国际广场B座1层8号,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,202,江岸区,胡桃里,"114.301534,30.599897",027-66669788,114.301534,30.599897
B001B0I8VV,[],车站路107号(近车站路老火车站100米处),湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,[],江岸区,牛华杜家鸡,"114.297748,30.593086",027-82803661,114.297748,30.593086
B001B0II7E,[],沿江大道159号,湖北省,武汉市,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;中餐厅;中餐厅,100102|050100,0,[],江岸区,武汉马哥孛罗酒店,"114.301835,30.585467",027-82778888,114.301835,30.585467
B001B0B5V1,[],兰陵路86号,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,1,[],江岸区,刘记三狗牛肉面馆,"114.297194,30.587637",15327308186,114.297194,30.587637
B0HKVC4PJU,[],一元街沿江大道111号(江滩凡象酒店后侧),湖北省,武汉市,餐饮服务;外国餐厅;日本料理,050202,1,[],江岸区,江户岚·鳥昇烧鳥(江滩店),"114.301514,30.586379",17607572752,114.301514,30.586379
B001B1H2GU,B001B0IHWW,解放南路425附7(三阳路地铁站J口步行150米),湖北省,武汉市,餐饮服务;中餐厅;海鲜酒楼,050119,0,320,江岸区,凤鳖巢甲鱼馆(云宏大厦店),"114.299184,30.598709",027-82800753,114.299184,30.598709
B0G1N15OF1,B0FFGA4NOD,沿江大道159号时代广场1栋18层,湖北省,武汉市,餐饮服务;外国餐厅;外国餐厅,050200,0,320,江岸区,悦LOUNGE 270度超一线江景酒廊,"114.302040,30.585810",15071175208;17702707978,114.302040,30.585810
B0IDNMK2I9,B0FFK6SJBB,中山大道1241号都市产业大厦,湖北省,武汉市,餐饮服务;快餐厅;麦当劳,050302,0,202,江岸区,麦当劳(武汉都市产业大厦餐厅),"114.306019,30.602656",4009200205,114.306019,30.602656
B0FFHTVP4H,B001B1BYR4,京汉大道929号(大智路老汉口火车站正对面),湖北省,武汉市,餐饮服务;中餐厅;中餐厅|餐饮服务;咖啡厅;咖啡厅,050100|050500,0,202,江岸区,石烧珈琲(大智路店),"114.296375,30.594576",027-82659277;13307173777,114.296375,30.594576
B001B06O2B,[],胜利街74号胜利街与天津路交叉口,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,[],江岸区,老妈烧菜馆(天津路店),"114.296835,30.585542",027-82818472;15072445055,114.296835,30.585542
B0IGCHDBGO,[],三阳路30号,湖北省,武汉市,餐饮服务;快餐厅;肯德基,050301,0,[],江岸区,肯德基公园送,"114.309443,30.594907",[],114.309443,30.594907
B001B1C9LV,[],天津路52-56号海伦司小酒馆,湖北省,武汉市,餐饮服务;外国餐厅;西餐厅(综合风味),050201,1,[],江岸区,Helens海伦司(武汉天津路店),"114.296351,30.585685",027-82807797,114.296351,30.585685
B0FFHMV913,[],洞庭街74号,湖北省,武汉市,餐饮服务;中餐厅;火锅店,050117,0,[],江岸区,青石小什锦九宫格火锅(洞庭街店),"114.300275,30.586186",027-82851717,114.300275,30.586186
B0FFIK26ID,B0FFITA6IO,一元街街道宝丽金一楼(三阳路地铁站H口步行370米),湖北省,武汉市,餐饮服务;快餐厅;麦当劳,050302,0,320,江岸区,麦当劳(融科天城五期餐厅),"114.296902,30.597316",4009200205,114.296902,30.597316
B0FFHG0T7E,B001B15T8X,球场街办事处解放南路义合巷馨悦国际三栋1-3层,湖北省,武汉市,餐饮服务;外国餐厅;日本料理,050202,1,320,江岸区,柚彩日本料理(馨悦国际店),"114.291964,30.591759",027-85257197,114.291964,30.591759
B0FFH6L88F,[],兰陵路2号界立方期,湖北省,武汉市,餐饮服务;外国餐厅;日本料理,050202,1,[],江岸区,横丁居酒屋,"114.301004,30.585007",18571452915,114.301004,30.585007
