id,address,pname,cityname,type,adname,name,location,lng,lat,rank
B0GD0Y720O,古田一路30号附12(古田一路地铁站A口步行360米),湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Qiaokou,武汉市凯兴信电器有限公司,"114.184602,30.607065",114.184602,30.607065,3
B0HB4U8A4L,江汉路步行街与京汉大道交汇处,湖北省,武汉市,购物服务;商场;普通商场|购物服务;商场;购物中心,Jianghan,M+购物中心,"114.286339,30.583478",114.286339,30.583478,1
B0I64DSH1V,珞喻路1号新世界百货F3(街道口地铁站C口步行90米),湖北省,武汉市,购物服务;商场;商场,Hongshan,新世界百货-武汉市Hongshan消费扶贫专柜,"114.354028,30.526953",114.354028,30.526953,1
B0FFH48CA0,和平大道1278号(和平公园地铁站B口步行410米),湖北省,武汉市,购物服务;商场;购物中心,Qingshan,武汉印象城,"114.390023,30.632005",114.390023,30.632005,1
B001B0HZ72,解放大道688号,湖北省,武汉市,购物服务;商场;购物中心,Jianghan,武商MALL??武广,"114.270178,30.580192",114.270178,30.580192,1
B0FFIKXHUB,京汉大道668号(利济北路地铁站B1口步行190米),湖北省,武汉市,购物服务;商场;购物中心,Qiaokou,武汉恒隆广场,"114.273801,30.577836",114.273801,30.577836,1
B0FFGL1P49,汉正街地铁站A口步行320米,湖北省,武汉市,购物服务;商场;普通商场,Qiaokou,武汉多福路商城,"114.276206,30.568903",114.276206,30.568903,2
B0HGTS8J6J,解放大道690号(中山公园地铁站A口步行190米),湖北省,武汉市,购物服务;商场;普通商场|购物服务;商场;购物中心,Jianghan,武汉国际广场B,"114.269851,30.580705",114.269851,30.580705,1
B0FFGMX0T2,汉口解放大道690号(中山公园地铁站A口步行90米),湖北省,武汉市,购物服务;商场;购物中心|购物服务;商场;普通商场,Jianghan,武汉国际广场购物中心,"114.270721,30.581007",114.270721,30.581007,1
B0FFGM2FX9,解放大道586号(中山公园地铁站A口步行90米),湖北省,武汉市,购物服务;商场;购物中心,Jianghan,武汉国际广场,"114.270733,30.580897",114.270733,30.580897,1
B0FFHFHITS,建设大道668号,湖北省,武汉市,购物服务;商场;购物中心,Jiang'an,武汉万象城,"114.280583,30.599266",114.280583,30.599266,1
B0FFG87QDO,中山大道1515号(黄浦路地铁站C口步行270米),湖北省,武汉市,购物服务;商场;购物中心,Jiang'an,武汉天地壹方南馆,"114.309889,30.609527",114.309889,30.609527,1
B0HR410XXE,中山大道555号(六渡桥地铁站A口步行390米),湖北省,武汉市,购物服务;商场;商场,Jianghan,1828武汉新天地(中山大道店),"114.279833,30.573367",114.279833,30.573367,1
B0FFHOJC1L,解放大道690号(中山公园地铁站A口步行100米),湖北省,武汉市,购物服务;商场;购物中心,Jianghan,武汉国际广场AB座,"114.271053,30.580351",114.271053,30.580351,1
B0FFKZLB52,园博大道1号武汉荟聚F1,湖北省,武汉市,购物服务;商场;普通商场,Qiaokou,武汉荟聚中心-H282,"114.166635,30.616546",114.166635,30.616546,1
B0FFHXO53H,解放大道690号武汉国际广场F6,湖北省,武汉市,购物服务;商场;免税品店,Jianghan,ATRIVM(武汉广场店),"114.270873,30.580944",114.270873,30.580944,2
B0H045ADWV,松竹路与沙湖大道交叉口东南80米,湖北省,武汉市,购物服务;商场;购物中心,Wuchang,武汉SKP(装修中),"114.338374,30.557185",114.338374,30.557185,2
B0FFKTZOCK,盘龙城巨龙大道39号(香奈天鹅湖旁),湖北省,武汉市,购物服务;商场;普通商场|购物服务;商场;购物中心,Huangpi,武汉环球广场,"114.289575,30.701397",114.289575,30.701397,2
B0FFGOBHN7,高桥二路特1号,湖北省,武汉市,购物服务;商场;购物中心,Dongxihu,武汉自贸城,"114.049768,30.62874",114.049768,30.62874,2
B0FFLIN96L,青年路518号(范湖地铁站C口步行330米),湖北省,武汉市,购物服务;商场;普通商场,Jianghan,武汉江宸天街,"114.261446,30.606668",114.261446,30.606668,1
B0HKO5HVZL,解放大道557号(武广正对面)武商MALL·国广B座F6,湖北省,武汉市,购物服务;商场;商场,Jianghan,WEDGWOOD(武汉国际广场购物中心店),"114.270764,30.580810",114.270764,30.58081,1
B0FFHBVTHM,关山大道330号,湖北省,武汉市,购物服务;商场;购物中心,Hongshan,武汉保利广场,"114.410385,30.490946",114.410385,30.490946,1
B0FFI2U918,,湖北省,武汉市,购物服务;商场;购物中心,Hongshan,武汉K11Select,"114.41289,30.493297",114.41289,30.493297,1
B0FFFFP4PD,经济开发区江城大道408号,湖北省,武汉市,购物服务;商场;购物中心,Hanyang,永旺梦乐城(武汉经开店),"114.20595,30.503804",114.20595,30.503804,1
B0FFINIB5C,金桥大道与井南路交汇处,湖北省,武汉市,购物服务;商场;购物中心,Jiang'an,武汉ZAMA荟(建设中),"114.294358,30.654573",114.294358,30.654573,2
B0FFKC5A44,解放大道628号,湖北省,武汉市,购物服务;商场;购物中心,Qiaokou,武汉K11购物艺术中心,"114.265515,30.578995",114.265515,30.578995,1
B0HRV7VMIL,青年路518号(范湖地铁站E口旁),湖北省,武汉市,购物服务;商场;购物中心,Jianghan,武汉江宸天街购物中心,"114.260985,30.607050",114.260985,30.60705,1
