id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B0FFGMDF2A,B001B0IIVV,徐东大街18号销品茂购物广场五楼,湖北省,武汉市,餐饮服务;餐饮相关场所;餐饮相关,050000,1,202,武昌区,香识销品茂店,"114.343340,30.589175",027-68899277,114.343340,30.589175
B0FFJXF5NH,B001B0IIVV,徐东大街18号销品茂7F层,湖北省,武汉市,餐饮服务;冷饮店;冷饮店,050700,0,201,武昌区,sweet(销品茂),"114.343578,30.588960",[],114.343578,30.588960
B0FFH61HJE,B001B0IIVV,徐东大街18号销品茂5F层,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,0,201,武昌区,我们烧烤吧(徐东店),"114.343120,30.588050",15107175877,114.343120,30.588050
B001B19RD4,B001B0IIVV,徐东大街30号武昌销品茂3层,湖北省,武汉市,餐饮服务;外国餐厅;西餐厅(综合风味),050201,0,201,武昌区,半秋山西餐厅(销品茂店),"114.343372,30.589102",027-68898777;027-68899977,114.343372,30.589102
B0FFM8Q5E1,B001B0IIVV,徐东大街18号武汉销品茂壹层F1011A,湖北省,武汉市,餐饮服务;冷饮店;冷饮店,050700,0,202,武昌区,喜茶(销品茂店),"114.343496,30.588880",027-88840771,114.343496,30.588880
B0FFJCKKS5,B001B0IIVV,徐东大街销品茂五楼G5003A,湖北省,武汉市,餐饮服务;外国餐厅;日本料理,050202,0,201,武昌区,一捧饭团(销品茂店),"114.342662,30.587978",13995648904;13237131244,114.342662,30.587978
B001B0JALS,B001B0IIVV,徐东大街18号武汉销品茂1层,湖北省,武汉市,餐饮服务;冷饮店;冷饮店|餐饮服务;糕饼店;糕饼店,050700|050800,0,201,武昌区,DQ(徐东销品茂店),"114.342597,30.587869",4001088870;13407136739,114.342597,30.587869
B0FFHHPH8G,B001B0IIVV,洪山徐东商圈友谊大道销品茂1层,湖北省,武汉市,餐饮服务;冷饮店;冷饮店,050700,0,202,武昌区,1点点(徐东销品茂店),"114.342740,30.588606",027-62438047,114.342740,30.588606
B0G134Y0N7,B001B0IIVV,徐东大街18号销品茂5层F5012A号,湖北省,武汉市,餐饮服务;中餐厅;火锅店,050117,0,202,武昌区,海底捞火锅(销品茂店),"114.343501,30.589203",027-86709077;027-86709078,114.343501,30.589203
B001B19SBS,B001B0IIVV,徐东大街18号销品茂5层,湖北省,武汉市,餐饮服务;中餐厅;中餐厅,050100,1,201,武昌区,荷花亭(销品茂店),"114.342410,30.587097",027-68899177,114.342410,30.587097
