id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B0IUPUGSQR,B001B1BM96,梨园街欢乐大道46号麦当劳,湖北省,武汉市,餐饮服务;快餐厅;麦当劳,050302,0,320,洪山区,麦当劳(武汉铁机路餐厅),"114.369531,30.583852",4009200205,114.369531,30.583852
B0IDPCSBTN,[],纺织路与关山大道交叉口西80米,湖北省,武汉市,餐饮服务;快餐厅;麦当劳,050302,0,[],洪山区,麦当劳,"114.409516,30.484226",4009200205,114.409516,30.484226
B0IDNMK2I9,B0FFK6SJBB,中山大道1241号,湖北省,武汉市,餐饮服务;快餐厅;麦当劳,050302,0,202,江岸区,麦当劳,"114.306019,30.602656",4009200205,114.306019,30.602656
B0ID2SJR7T,[],民族大道324号中冶南方韵湖星光麦当劳,湖北省,武汉市,餐饮服务;快餐厅;快餐厅,050300,0,[],江夏区,麦当劳(中冶南方韵湖星光餐厅),"114.381991,30.451746",4009200205,114.381991,30.451746
B0ID27VA8F,[],鹦鹉大道530-3号万福国际广场(东南角),湖北省,武汉市,餐饮服务;快餐厅;快餐厅,050300,0,[],汉阳区,麦当劳(武汉万福国际广场餐厅),"114.254210,30.521768",4009200205,114.254210,30.521768
B0IBXLPVDZ,[],白沙洲大道与白沙三路交汇处东南角,湖北省,武汉市,餐饮服务;快餐厅;麦当劳,050302,0,[],洪山区,麦当劳(白沙洲居然之家店),"114.276289,30.479096",4008517517,114.276289,30.479096
B0IB1ZG3VO,B0FFFGUL9D,杨桥湖大道湖北经济学院对面,湖北省,武汉市,餐饮服务;快餐厅;麦当劳,050302,0,202,江夏区,麦当劳(藏龙中百店),"114.430402,30.420140",[],114.430402,30.420140
B0IAY5UZOK,[],严西湖1号花山郡二期商业街,湖北省,武汉市,餐饮服务;快餐厅;麦当劳,050302,0,[],洪山区,麦当劳(联投花山郡餐厅),"114.492314,30.558331",4009200205,114.492314,30.558331
B0I66HFT5G,[],秋礼街与连通港路交叉口南60米,湖北省,武汉市,餐饮服务;餐饮相关场所;餐饮相关,050000,0,[],汉阳区,麦当劳国博店,"114.226062,30.509721",4009200205,114.226062,30.509721
B0I65C7P9N,B0FFKDII2S,武汉大悦城B1-27/27A号,湖北省,武汉市,餐饮服务;快餐厅;麦当劳,050302,0,202,洪山区,麦当劳(大悦城店),"114.498918,30.488413",4008517517,114.498918,30.488413
B0I646WO2L,B0G39DOQYI,佛祖岭街道流芳路108号同兴生活广场1层,湖北省,武汉市,餐饮服务;快餐厅;麦当劳,050302,0,202,江夏区,麦当劳(同兴生活广场店),"114.452642,30.431496",4009200205;18502707002,114.452642,30.431496
B0HUTSYC77,B0FFHAHI58,关山大道11号(华中科技大学地铁站A2口步行310米),湖北省,武汉市,餐饮服务;快餐厅;快餐厅,050300,1,320,洪山区,麦当劳,"114.413942,30.505813",027-87858803;4008517517,114.413942,30.505813
B0HG2U1F73,B0FFL3U2A3,建设大道700号(香港路地铁站A口步行120米),湖北省,武汉市,餐饮服务;快餐厅;快餐厅,050300,1,202,江岸区,麦当劳(武汉麦当劳汉口香格里拉中心餐厅),"114.283292,30.603073",4009200205;027-85666593,114.283292,30.603073
B0HG050HFR,[],车城西路与观湖路,湖北省,武汉市,餐饮服务;快餐厅;快餐厅,050300,1,[],蔡甸区,麦当劳(武汉麦当劳东风阳光城DT餐厅),"114.149919,30.497458",027-63080789,114.149919,30.497458
