id,address,pname,cityname,type,adname,name,location,lng,lat
B001B0JYXS,东湖路160号,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,湖北省博物馆,"114.365445,30.561501",114.365445,30.561501
B001B065B6,青年路373号,湖北省,武汉市,科教文化服务;博物馆;博物馆,江汉区,武汉博物馆,"114.256463,30.611407",114.256463,30.611407
B001B0B59E,沿江大道162号,湖北省,武汉市,科教文化服务;博物馆;博物馆,江岸区,黎黄陂路街头博物馆,"114.302226,30.586444",114.302226,30.586444
B001B0K94E,金口街道,湖北省,武汉市,科教文化服务;博物馆;博物馆,江夏区,中山舰博物馆,"114.134269,30.345277",114.134269,30.345277
B001B08BC3,沿江大道129号,湖北省,武汉市,科教文化服务;博物馆;博物馆,江汉区,江汉关博物馆,"114.297308,30.576075",114.297308,30.576075
B001B09T0W,鲁磨路388号中国地质大学,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,中国地质大学逸夫博物馆,"114.400470,30.517554",114.40047,30.517554
B001B0J00B,红巷13号,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,武汉革命博物馆,"114.300394,30.553690",114.300394,30.55369
B001B0IR2X,东湖南路中科院水生所内,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,水生生物博物馆,"114.355885,30.544913",114.355885,30.544913
B001B08VKZ,利济北路250附4号(利济北路地铁站D口步行460米),湖北省,武汉市,科教文化服务;博物馆;博物馆,江汉区,湖北地质博物馆,"114.267554,30.579250",114.267554,30.57925
B001B0IZF3,博物大道107号,湖北省,武汉市,科教文化服务;博物馆;博物馆,新洲区,新洲博物馆,"114.819153,30.844609",114.819153,30.844609
B001B0ISX5,民院路5号中南民族大学内,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,中南民族大学民族学博物馆,"114.389537,30.482683",114.389537,30.482683
B001B0ILUM,冶金大道30号,湖北省,武汉市,科教文化服务;博物馆;博物馆,青山区,中国武钢博物馆,"114.405588,30.630008",114.405588,30.630008
B0FFHRIKW7,中山大道江汉路永康里(江汉路地铁站G口步行160米),湖北省,武汉市,科教文化服务;博物馆;博物馆,江汉区,永康里街头博物馆,"114.289583,30.577993",114.289583,30.577993
B0FFGL4BBE,中南一路3号中南天紫广场a馆,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,武汉精益眼镜博物馆,"114.332693,30.537938",114.332693,30.537938
B001B1ASO3,鸿翔巷1号,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,武汉道一堂中医药博物馆,"114.295071,30.547607",114.295071,30.547607
B0FFHW7AFB,红巷红巷艺术城,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,象牙博物馆,"114.299455,30.554141",114.299455,30.554141
B001B0JKKB,演武路1号,湖北省,武汉市,科教文化服务;博物馆;博物馆,黄陂区,湖北明清古建筑博物馆,"114.476518,31.091584",114.476518,31.091584
B0FFF2I9TA,江欣苑1期西北门西南50米,湖北省,武汉市,科教文化服务;博物馆;博物馆,汉阳区,武汉汉绣博物馆,"114.246232,30.530426",114.246232,30.530426
B0FFFFP4LI,志芳公街,湖北省,武汉市,科教文化服务;博物馆;博物馆,黄陂区,黄花涝文博馆,"114.194744,30.719824",114.194744,30.719824
B001B1IJ6K,狮子山街1号华中农业大学,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,华中农业大学博物馆,"114.357252,30.475831",114.357252,30.475831
B0FFFLJDMC,大兴一路9号,湖北省,武汉市,科教文化服务;博物馆;博物馆,江汉区,中华龙文化博物馆,"114.291254,30.567379",114.291254,30.567379
B001B170AY,彭刘杨路258号,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,辛亥革命博物馆(暂停营业),"114.305369,30.537061",114.305369,30.537061
B001B0JKKA,演武街(木兰湖),湖北省,武汉市,科教文化服务;博物馆;博物馆,黄陂区,湖北明代藩王博物馆,"114.474584,31.092084",114.474584,31.092084
B0FFHGY5DY,昙华林188号(螃蟹岬地铁站E口步行330米),湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,翟雅阁博物馆,"114.314654,30.550523",114.314654,30.550523
B001B1ASK5,白玉山严西湖畔张公山寨度假山庄,湖北省,武汉市,科教文化服务;博物馆;博物馆,青山区,张公山寨古建民俗文化博物馆,"114.503932,30.588812",114.503932,30.588812
B0FFG4I7QW,珞瑜路35号珞珈创意体验城,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,糖果达令,"114.356513,30.526502",114.356513,30.526502
B0FFHCV6YM,余岭村余家湾特1号,湖北省,武汉市,科教文化服务;博物馆;博物馆,江夏区,武汉长庭陶瓷博物馆,"114.207859,30.376262",114.207859,30.376262
B0FFLO9H4U,江汉路花楼街宝丽金B1座2楼,湖北省,武汉市,科教文化服务;博物馆;博物馆,江汉区,武汉爱情博物馆,"114.292397,30.577639",114.292397,30.577639
B0FFFLJTW8,合作路22号,湖北省,武汉市,科教文化服务;博物馆;博物馆,江岸区,湖北省电力博物馆,"114.298808,30.585176",114.298808,30.585176
B0GRHMR4H4,青岛路多牛世界(平和打包厂)A座1层商6,湖北省,武汉市,科教文化服务;博物馆;博物馆,江岸区,纽设设计,"114.297235,30.583014",114.297235,30.583014
B0GUN5IPMT,南京路115附1号(循礼门地铁站H口步行210米),湖北省,武汉市,科教文化服务;博物馆;博物馆,江岸区,造物公园,"114.289203,30.585145",114.289203,30.585145
B0G2H5ODRB,高雄路8号203室,湖北省,武汉市,科教文化服务;博物馆;博物馆,江岸区,LAP画廊,"114.287443,30.593626",114.287443,30.593626
B0FFLEZRVC,淮海路红领巾学校旁泛海生活广场4楼1号商铺,湖北省,武汉市,科教文化服务;博物馆;博物馆,江汉区,艺舒文艺画馆,"114.236842,30.602081",114.236842,30.602081
B0FFGILBVK,生物园东路与神墩四路交叉口西北80米,湖北省,武汉市,科教文化服务;博物馆;博物馆,江夏区,酶法多肽博物馆,"114.544517,30.478840",114.544517,30.47884
B0HDD69GTZ,武汉市第十四中学西南2门东90米,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,昙华林近代教育博物馆,"114.313222,30.551362",114.313222,30.551362
B001B15S3V,丰硕路28号武汉新工厂高新技术产业园16栋,湖北省,武汉市,科教文化服务;博物馆;博物馆,硚口区,硚口民族工业博物馆,"114.191515,30.606618",114.191515,30.606618
B0H6XAWEI1,和平大道589号(长江二桥下)四美塘公园,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,武汉凡氏老相机博物馆,"114.335292,30.594391",114.335292,30.594391
B0FFK6E18N,石门峰纪念公园,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,石门峰博物馆(装修中),"114.477198,30.515327",114.477198,30.515327
B0FFF34SA2,开屏里67号楼66号,湖北省,武汉市,科教文化服务;博物馆;博物馆,东西湖区,武汉三尤酒瓶博物馆(建设中),"114.148645,30.619158",114.148645,30.619158
B0FFL213P6,书博东路,湖北省,武汉市,科教文化服务;博物馆;博物馆,江夏区,长江书法博物院,"114.519739,30.507348",114.519739,30.507348
B0IRUH3W2Y,武珞路1号,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,辛亥革命博物院北区,"114.306349,30.542126",114.306349,30.542126
B0I6JM0IHE,武昌路与黄鹤楼东路交叉口西北120米,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,辛亥革命博物院(筹),"114.306354,30.542132",114.306354,30.542132
B001B0HZQH,胜景大道54号,湖北省,武汉市,科教文化服务;博物馆;博物馆,黄陂区,木兰山地质博物馆,"114.389055,31.098031",114.389055,31.098031
B0FFHCWQGI,一元街办事处沿江大道粤汉码头江滩内,湖北省,武汉市,科教文化服务;博物馆;博物馆,江岸区,横渡长江博物馆,"114.307427,30.590795",114.307427,30.590795
B0FFLQ1D30,永丰街三眼桥社区董湾,湖北省,武汉市,科教文化服务;博物馆;博物馆,汉阳区,易家人,"114.153127,30.555487",114.153127,30.555487
B0HANLNAKU,珞喻路152号华中师范大学文科综合楼1期2层,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,华中师范大学博物馆,"114.358246,30.520747",114.358246,30.520747
B0HATMX5CN,紫阳湖公园紫阳阁1-2层,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,汉剧博物馆,"114.305055,30.530727",114.305055,30.530727
B0IROA0X3K,车城北路与科技园西路交叉口东南20米,湖北省,武汉市,科教文化服务;博物馆;博物馆,蔡甸区,博物馆,"114.183874,30.494460",114.183874,30.49446
B0FFKUFC4E,武汉抗战纪念馆东北侧160米,湖北省,武汉市,科教文化服务;博物馆;博物馆,洪山区,圆满人生博物馆,"114.482015,30.514973",114.482015,30.514973
B0H3ZUDTDY,武汉轻工大学金银湖校区,湖北省,武汉市,科教文化服务;博物馆;博物馆,东西湖区,中国油脂博物馆,"114.220481,30.652264",114.220481,30.652264
B0H1K52HII,红巷与北城角交叉口东约20米,湖北省,武汉市,科教文化服务;博物馆;博物馆,武昌区,户部巷博物馆,"114.299064,30.553730",114.299064,30.55373
B0G2X9PY5W,阳光100大湖第80栋102号,湖北省,武汉市,科教文化服务;博物馆;博物馆,江夏区,军恋博物馆(武汉),"114.410513,30.397707",114.410513,30.397707
B0HAAS5TKG,汉阳大街老区政府大院,湖北省,武汉市,科教文化服务;博物馆;博物馆,蔡甸区,蔡甸区博物馆,"114.029251,30.582584",114.029251,30.582584
